Drug,%Dead,Date,shP53,shCHK2,shATR,shCHK1,shATX,shDNAPK,shBOK,shBIM
6-Thioguanine,92,1/23/2012,4.149231955,5.485222881,-0.460936649,-2.883123496,0.073988434,0.612683258,-2.719102069,0.920058153
6-Thioguanine,88,1/23/2012,4.032238037,5.206702148,0.015548444,-2.131436396,0.253694457,0.417029158,-2.062800787,1.024003321
6-Thioguanine,84,1/23/2012,4.482841855,5.047573567,0.367161995,-2.460744021,0.679439256,0.649882561,-1.748353388,1.110578532
6-Thioguanine,74,1/23/2012,3.827869633,4.839410644,1.076948988,-1.469024579,0.959733699,0.731505751,-1.296222122,1.220439807
6-Thioguanine,76,11/23/2012,3.018528375,3.398754913,0.674920971,-1.090227695,-0.898749214,-0.736060505,-0.796536676,0.9065038
6-Thioguanine,77,11/24/2012,3.294470099,3.472913752,1.004417892,-1.341106245,-0.421108322,-0.833431356,-0.742050627,1.544719871
6-Thioguanine,73,11/24/2012,3.103256977,3.616536813,1.069769172,-1.073100661,-0.413484598,-0.979998302,-1.034921234,1.696158254
6-Thioguanine,90,12/7/2012,4.981645144,4.935234207,0.82802027,-1.778264793,-0.815039068,-1.480887434,-1.082464543,1.5241923
6-Thioguanine,89,12/9/2012,4.40546879,4.781103144,0.974696133,-1.637137805,-0.072414662,-0.609340241,-1.382538688,1.480763557
6-Thioguanine,82,DEC-11-2012,3.928916902,3.921792381,1.213676774,-1.500681822,-0.318137574,-0.960552876,-0.952223566,1.166420761
6-Thioguanine,83,12/11/2012,3.935498551,3.952825951,1.019628807,-1.227086897,-0.573583439,-0.908576972,-0.735194329,1.172429495
6-Thioguanine,93,4/8/2013,4.340993379,5.611693135,-0.12509522,-3.121184411,0.694810672,0.345268275,-0.955219304,1.156315325
6-Thioguanine,79,4/12/2013,3.83613993,4.095899149,0.185946081,-2.385258934,1.115662211,0.275091453,-0.75204781,0.920350231
6-Thioguanine,82,4/12/2013,4.606618918,4.861603063,0.045263313,-2.281278997,1.211504105,0.401862961,-1.090904634,0.833674662
6-Thioguanine,88,4/12/2013,4.658083954,4.915689911,0.196392112,-2.921997488,0.964478472,0.048147581,-1.024400025,1.102180395
6-Thioguanine,89,4/12/2013,4.913794083,5.313911468,-0.011473332,-2.025090981,0.944333087,0.538536768,-0.992051247,1.179780032
Doxorubicin,93,6/9/2014,4.419693862,4.468295549,1.433751395,-0.565178251,-1.427981178,-1.517178372,-0.849749814,1.701375553
Doxorubicin,93,10/10/2014,4.658533021,4.199187081,1.84502534,-0.912758215,-2.770098883,-1.575252619,-1.906367379,2.057234987
doxorubicin,92,9/29/2012,4.160424482,3.785877923,1.539142811,-0.652545788,-2.505673591,-0.841778736,-1.093702324,1.908553089
doxorubicin,92,6/26/2015,3.713700892,3.811624711,1.20642383,-0.695253339,-1.645095358,-1.72726069,-1.603247399,1.503648528
doxorubicin,91,12/23/2012,3.858557595,4.043143412,1.427515541,-0.393911917,-2.424746457,-0.958157421,-0.978056049,1.60551614
doxorubicin,91,4/24/2014,4.294800917,3.946051627,1.500681822,-0.701786209,-2.219704125,-1.95128901,-1.752270877,1.750218911
doxorubicin,91,3/21/2013,4.543621848,4.142957954,1.547267099,-0.821274028,-1.677021807,-1.100958099,-1.341750819,1.949272025
doxorubicin,91,7/21/2014,4.935429254,4.224253746,1.763844715,-0.333770714,-2.175627954,-1.887551976,-2.581848993,2.100592389
doxorubicin,91,12/11/2012,4.375993675,4.04071327,1.445524822,-0.551621275,-1.9903309,-1.069759492,-1.444125508,1.435621233
doxorubicin,91,6/1/2014,4.561985663,4.371097512,1.6919828,-1.130223509,-1.66607684,-2.181972629,-1.835497232,1.45567503
doxorubicin,91,5/13/2015,4.286514337,4.222869177,1.508662227,-0.256162429,-1.799153109,-1.467350054,-1.688055994,1.966322251
doxorubicin,91,2/1/2013,5.109474536,4.658740427,2.071347668,-0.430145347,-2.273183274,-1.830844548,-1.15200505,1.810355133
doxorubicin,91,3/21/2014,4.169660457,3.715484187,1.661583977,-0.66541845,-1.720788926,-1.561873895,-2.707825333,1.61786718
doxorubicin,91,12/17/2011,3.379621292,3.576423131,0.774663608,-0.399491456,-1.263174684,-1.052015567,-1.244826747,0.710678903
doxorubicin,90,4/8/2012,4.009809695,3.764684067,1.456311658,-0.2330576,-1.222765854,-0.670401635,-1.571302504,2.006252328
doxorubicin,90,10/16/2013,4.11354719,4.096861539,1.101321187,-0.485334512,-1.770934011,-1.769060645,-2.010888316,1.710493383
doxorubicin,90,10/6/2014,4.941481642,4.614594706,1.790531892,-0.974670476,-2.163842828,-1.781176198,-1.858934662,2.096132089
doxorubicin,90,10/28/2013,4.759526397,4.055282436,1.798520265,-0.807354922,-2.247927513,-2.081638469,-1.759764741,2.415037499
doxorubicin,90,7/21/2014,4.877345256,4.303121351,1.988030744,-0.816260944,-1.87445669,-1.850870136,-2.05558228,2.0373038
doxorubicin,90,3/15/2013,3.681034171,3.3584398,1.712007133,-0.407828666,-2.200774019,-1.740317556,-1.426111415,1.671926157
doxorubicin,90,6/27/2013,4.690127344,3.930851588,1.183972776,-1.018378529,-1.525553804,-1.765271984,-1.572787787,1.435386145
doxorubicin,90,3/3/2013,4.224450595,3.678594035,1.230906092,-0.979940664,-1.800540858,-1.27489188,-1.177344583,1.742415597
doxorubicin,90,5/14/2012,4.109771422,3.841268171,1.275105045,-0.927963605,-1.728185661,-1.5890963,-1.061163002,1.509000066
